Movimentação na conta,Duração em meses,Histórico de pagamentos,Finalidade do crédito,Valor do crédito,Saldo em conta poupança/títulos,Emprego atual desde,Comprometimento de Renda,Estado civil e sexo,Outros devedores/garantidores,Residência atual desde,Bem/Propriedade Principal,Idade em anos,Parcelamento com terceiros,Forma de Moradia,Número de créditos existentes neste banco,Emprego,Número de dependentes,Possui Telefone,Trabalhador estrangeiro,Target
n/há,22,pgto em dia neste banco (em aberto),carro novo,1283,n/há,< 7 anos,4,femi-divorciadaoucasada,n/há,4,poupança ou seguro de vida,25,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 200 $,12,pgto em dia neste banco (em aberto),carro novo,1330,< 100 $,< 1 ano,4,masc-solteiro,n/há,1,imovel,26,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,30,pgto em atraso no passado,negocios,4272,>= 100 < 500 $,< 4 anos,2,masc-solteiro,n/há,2,poupança ou seguro de vida,26,n/há,própria,2,empregado-semformacao-residente,1,não,sim,1
n/há,18,conta critica / dividas com terceiros,radio ou televisao,2238,< 100 $,< 4 anos,2,femi-divorciadaoucasada,n/há,1,carro ou outros-quitado,25,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
n/há,18,pgto em dia neste banco (em aberto),radio ou televisao,1126,n/há,< 1 ano,4,femi-divorciadaoucasada,n/há,2,imovel,21,n/há,aluguel,1,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,18,conta critica / dividas com terceiros,moveis e equipamentos,7374,< 100 $,desempregado,4,masc-solteiro,n/há,4,poupança ou seguro de vida,40,loja,própria,2,empresario-gerente-altaqualificacao,1,sim,sim,1
>= 0 < 200 $,15,conta critica / dividas com terceiros,negocios,2326,>= 500 < 1000 $,< 4 anos,2,masc-solteiro,n/há,4,carro ou outros-quitado,27,banco,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,9,pgto em dia neste banco (em aberto),negocios,1449,< 100 $,< 7 anos,3,femi-divorciadaoucasada,n/há,2,carro ou outros-quitado,27,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
n/há,18,pgto em dia neste banco (em aberto),carro novo,1820,< 100 $,< 4 anos,2,masc-casadoouviuvo,n/há,2,poupança ou seguro de vida,30,n/há,própria,1,empresario-gerente-altaqualificacao,1,sim,sim,1
>= 0 < 200 $,12,pgto em dia neste banco (em aberto),moveis e equipamentos,983,>= 1000 $,< 1 ano,1,femi-divorciadaoucasada,n/há,4,imovel,19,n/há,aluguel,1,empregado-semformacao-residente,1,não,sim,1
< 0 $,36,pgto em dia neste banco (em aberto),carro novo,3249,< 100 $,< 7 anos,2,masc-solteiro,n/há,4,n/há,39,banco,gratuita,1,empresario-gerente-altaqualificacao,2,sim,sim,1
< 0 $,6,conta critica / dividas com terceiros,radio ou televisao,1957,< 100 $,< 7 anos,1,femi-divorciadaoucasada,n/há,4,carro ou outros-quitado,31,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,9,conta critica / dividas com terceiros,moveis e equipamentos,2406,< 100 $,desempregado,2,masc-solteiro,n/há,3,carro ou outros-quitado,31,n/há,própria,1,empresario-gerente-altaqualificacao,1,não,sim,1
>= 0 < 200 $,39,pgto em atraso no passado,educacao,11760,>= 100 < 500 $,< 7 anos,2,masc-solteiro,n/há,3,n/há,32,n/há,aluguel,1,empregado-formadoouservidorpublico,1,sim,sim,1
< 0 $,12,pgto em dia neste banco (em aberto),moveis e equipamentos,2578,< 100 $,desempregado,3,femi-divorciadaoucasada,n/há,4,n/há,55,n/há,gratuita,1,empresario-gerente-altaqualificacao,1,não,sim,1
< 0 $,36,conta critica / dividas com terceiros,moveis e equipamentos,2348,< 100 $,< 4 anos,3,masc-casadoouviuvo,n/há,2,poupança ou seguro de vida,46,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,12,pgto em dia neste banco (em aberto),carro novo,1223,< 100 $,>= 7 anos,1,masc-divorciado,n/há,1,imovel,46,n/há,aluguel,2,empregado-formadoouservidorpublico,1,não,sim,2
n/há,24,conta critica / dividas com terceiros,radio ou televisao,1516,>= 1000 $,< 4 anos,4,femi-divorciadaoucasada,n/há,1,imovel,43,n/há,própria,2,empregado-semformacao-residente,1,não,sim,1
n/há,18,pgto em dia neste banco (em aberto),radio ou televisao,1473,< 100 $,< 1 ano,3,masc-casadoouviuvo,n/há,4,imovel,39,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,18,conta critica / dividas com terceiros,negocios,1887,n/há,< 4 anos,4,masc-casadoouviuvo,n/há,4,imovel,28,banco,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
n/há,24,pgto em atraso no passado,negocios,8648,< 100 $,< 1 ano,2,masc-solteiro,n/há,2,carro ou outros-quitado,27,banco,própria,2,empregado-formadoouservidorpublico,1,sim,sim,2
n/há,14,pgto em atraso no passado,carro novo,802,< 100 $,< 4 anos,4,masc-solteiro,n/há,2,carro ou outros-quitado,27,n/há,própria,2,empregado-semformacao-residente,1,não,sim,1
>= 0 < 200 $,18,pgto em atraso no passado,carro novo,2899,n/há,>= 7 anos,4,masc-solteiro,n/há,4,carro ou outros-quitado,43,n/há,própria,1,empregado-formadoouservidorpublico,2,não,sim,1
>= 0 < 200 $,24,pgto em dia neste banco (em aberto),radio ou televisao,2039,< 100 $,< 1 ano,1,masc-casadoouviuvo,n/há,1,poupança ou seguro de vida,22,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,2
n/há,24,conta critica / dividas com terceiros,carro usado,2197,n/há,< 7 anos,4,masc-solteiro,n/há,4,carro ou outros-quitado,43,n/há,própria,2,empregado-formadoouservidorpublico,2,sim,sim,1
< 0 $,15,pgto em dia neste banco (em aberto),radio ou televisao,1053,< 100 $,< 1 ano,4,masc-casadoouviuvo,n/há,2,imovel,27,n/há,própria,1,empregado-formadoouservidorpublico,1,não,não,1
n/há,24,pgto em dia neste banco (em aberto),radio ou televisao,3235,>= 500 < 1000 $,>= 7 anos,3,masc-divorciado,n/há,2,carro ou outros-quitado,26,n/há,própria,1,empresario-gerente-altaqualificacao,1,sim,sim,1
>= 200 $,12,conta critica / dividas com terceiros,carro novo,939,>= 500 < 1000 $,< 7 anos,4,masc-casadoouviuvo,n/há,2,imovel,28,n/há,própria,3,empregado-formadoouservidorpublico,1,sim,sim,2
>= 0 < 200 $,24,pgto em dia neste banco (em aberto),radio ou televisao,1967,< 100 $,>= 7 anos,4,femi-divorciadaoucasada,n/há,4,carro ou outros-quitado,20,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,33,conta critica / dividas com terceiros,carro usado,7253,< 100 $,< 7 anos,3,masc-solteiro,n/há,2,carro ou outros-quitado,35,n/há,própria,2,empresario-gerente-altaqualificacao,1,sim,sim,1
n/há,12,conta critica / dividas com terceiros,negocios,2292,< 100 $,desempregado,4,masc-solteiro,n/há,2,carro ou outros-quitado,42,loja,própria,2,empresario-gerente-altaqualificacao,1,sim,sim,2
n/há,10,pgto em dia neste banco (em aberto),carro novo,1597,>= 500 < 1000 $,< 4 anos,3,masc-solteiro,n/há,2,n/há,40,n/há,aluguel,1,empregado-semformacao-residente,2,não,não,1
< 0 $,24,pgto em dia neste banco (em aberto),carro novo,1381,n/há,< 4 anos,4,femi-divorciadaoucasada,n/há,2,poupança ou seguro de vida,35,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
n/há,36,conta critica / dividas com terceiros,carro usado,5842,< 100 $,>= 7 anos,2,masc-solteiro,n/há,2,poupança ou seguro de vida,35,n/há,própria,2,empregado-formadoouservidorpublico,2,sim,sim,1
< 0 $,12,pgto em dia neste banco (em aberto),carro novo,2579,< 100 $,< 1 ano,4,masc-solteiro,n/há,1,imovel,33,n/há,própria,1,empregado-semformacao-residente,2,não,sim,2
< 0 $,18,pgto em atraso no passado,educacao,8471,n/há,< 4 anos,1,femi-divorciadaoucasada,n/há,2,carro ou outros-quitado,23,n/há,aluguel,2,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,21,pgto em dia neste banco (em aberto),carro novo,2782,>= 500 < 1000 $,< 7 anos,1,femi-divorciadaoucasada,n/há,2,carro ou outros-quitado,31,banco,própria,1,empresario-gerente-altaqualificacao,1,não,sim,1
>= 0 < 200 $,18,pgto em dia neste banco (em aberto),carro novo,1042,n/há,< 4 anos,4,femi-divorciadaoucasada,n/há,2,poupança ou seguro de vida,33,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
n/há,15,pgto em dia neste banco (em aberto),carro novo,3186,>= 1000 $,< 7 anos,2,femi-divorciadaoucasada,n/há,3,carro ou outros-quitado,20,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,12,pgto em dia neste banco (em aberto),carro usado,2028,n/há,< 4 anos,4,masc-solteiro,n/há,2,carro ou outros-quitado,30,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,12,conta critica / dividas com terceiros,carro novo,958,< 100 $,< 7 anos,2,masc-solteiro,n/há,3,imovel,47,n/há,própria,2,empregado-semformacao-residente,2,não,sim,1
n/há,21,pgto em atraso no passado,moveis e equipamentos,1591,>= 100 < 500 $,< 7 anos,4,masc-solteiro,n/há,3,imovel,34,n/há,própria,2,empresario-gerente-altaqualificacao,1,não,sim,1
>= 0 < 200 $,12,pgto em dia neste banco (em aberto),moveis e equipamentos,2762,n/há,>= 7 anos,1,femi-divorciadaoucasada,n/há,2,poupança ou seguro de vida,25,banco,própria,1,empregado-formadoouservidorpublico,1,sim,sim,2
>= 0 < 200 $,18,pgto em dia neste banco (em aberto),carro usado,2779,< 100 $,< 4 anos,1,masc-casadoouviuvo,n/há,3,carro ou outros-quitado,21,n/há,aluguel,1,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,28,conta critica / dividas com terceiros,radio ou televisao,2743,< 100 $,>= 7 anos,4,masc-solteiro,n/há,2,carro ou outros-quitado,29,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
n/há,18,conta critica / dividas com terceiros,radio ou televisao,1149,>= 1000 $,< 4 anos,4,masc-solteiro,n/há,3,imovel,46,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
n/há,9,pgto em dia neste banco (em aberto),moveis e equipamentos,1313,< 100 $,>= 7 anos,1,masc-solteiro,n/há,4,carro ou outros-quitado,20,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,18,conta critica / dividas com terceiros,reparos,1190,< 100 $,desempregado,2,femi-divorciadaoucasada,n/há,4,n/há,55,n/há,gratuita,3,desempregado-semformacao-naoresidente,2,não,sim,2
n/há,5,pgto em dia neste banco (em aberto),negocios,3448,< 100 $,< 7 anos,1,masc-solteiro,n/há,4,imovel,74,n/há,própria,1,empregado-semformacao-residente,1,não,sim,1
>= 0 < 200 $,24,pgto em dia neste banco (em aberto),outros,11328,< 100 $,< 4 anos,2,masc-solteiro,codevedor,3,carro ou outros-quitado,29,banco,própria,2,empresario-gerente-altaqualificacao,1,sim,sim,2
< 0 $,6,conta critica / dividas com terceiros,moveis e equipamentos,1872,< 100 $,desempregado,4,masc-solteiro,n/há,4,n/há,36,n/há,gratuita,3,empresario-gerente-altaqualificacao,1,sim,sim,1
n/há,24,conta critica / dividas com terceiros,reparos,2058,< 100 $,< 4 anos,4,masc-divorciado,n/há,2,imovel,33,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
< 0 $,9,pgto em dia neste banco (em aberto),moveis e equipamentos,2136,< 100 $,< 4 anos,3,masc-solteiro,n/há,2,imovel,25,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,12,pgto em dia neste banco (em aberto),radio ou televisao,1484,n/há,< 4 anos,2,masc-casadoouviuvo,n/há,1,imovel,25,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,2
n/há,6,pgto em dia neste banco (em aberto),reparos,660,>= 500 < 1000 $,< 7 anos,2,masc-casadoouviuvo,n/há,4,imovel,23,n/há,aluguel,1,empregado-semformacao-residente,1,não,sim,1
n/há,24,conta critica / dividas com terceiros,carro novo,1287,>= 1000 $,>= 7 anos,4,femi-divorciadaoucasada,n/há,4,imovel,37,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
< 0 $,42,conta critica / dividas com terceiros,reparos,3394,< 100 $,desempregado,4,masc-solteiro,codevedor,4,carro ou outros-quitado,65,n/há,própria,2,desempregado-semformacao-naoresidente,1,não,sim,1
>= 200 $,12,pgto em dia neste banco (quitado),negocios,609,< 100 $,< 1 ano,4,femi-divorciadaoucasada,n/há,1,imovel,26,n/há,própria,1,desempregado-semformacao-naoresidente,1,não,sim,2
n/há,12,pgto em dia neste banco (em aberto),carro novo,1884,< 100 $,>= 7 anos,4,masc-solteiro,n/há,4,carro ou outros-quitado,39,n/há,própria,1,empresario-gerente-altaqualificacao,1,sim,sim,1
< 0 $,12,pgto em dia neste banco (em aberto),moveis e equipamentos,1620,< 100 $,< 4 anos,2,femi-divorciadaoucasada,codevedor,3,poupança ou seguro de vida,30,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,20,pgto em atraso no passado,outros,2629,< 100 $,< 4 anos,2,masc-solteiro,n/há,3,carro ou outros-quitado,29,banco,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,12,pgto em dia neste banco (em aberto),educacao,719,< 100 $,>= 7 anos,4,masc-solteiro,n/há,4,carro ou outros-quitado,41,banco,própria,1,empregado-semformacao-residente,2,não,sim,2
>= 0 < 200 $,48,conta critica / dividas com terceiros,moveis e equipamentos,5096,< 100 $,< 4 anos,2,femi-divorciadaoucasada,n/há,3,carro ou outros-quitado,30,n/há,própria,1,empresario-gerente-altaqualificacao,1,sim,sim,2
n/há,9,conta critica / dividas com terceiros,educacao,1244,n/há,>= 7 anos,4,femi-divorciadaoucasada,n/há,4,poupança ou seguro de vida,41,n/há,aluguel,2,empregado-semformacao-residente,1,não,sim,1
< 0 $,36,pgto em dia neste banco (em aberto),carro novo,1842,< 100 $,< 1 ano,4,femi-divorciadaoucasada,n/há,4,carro ou outros-quitado,34,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,2
>= 0 < 200 $,7,pgto em dia neste banco (em aberto),radio ou televisao,2576,< 100 $,< 4 anos,2,masc-solteiro,garantidor,2,imovel,35,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 200 $,12,pgto em dia neste banco (em aberto),moveis e equipamentos,1424,n/há,>= 7 anos,3,femi-divorciadaoucasada,n/há,4,imovel,55,n/há,própria,1,empresario-gerente-altaqualificacao,1,sim,sim,1
>= 0 < 200 $,15,pgto em atraso no passado,reparos,1512,>= 1000 $,< 4 anos,3,masc-casadoouviuvo,n/há,3,poupança ou seguro de vida,61,loja,própria,2,empregado-formadoouservidorpublico,1,não,sim,2
n/há,36,conta critica / dividas com terceiros,carro usado,11054,n/há,< 4 anos,4,masc-solteiro,n/há,2,carro ou outros-quitado,30,n/há,própria,1,empresario-gerente-altaqualificacao,1,sim,sim,1
n/há,6,pgto em dia neste banco (em aberto),radio ou televisao,518,< 100 $,< 4 anos,3,femi-divorciadaoucasada,n/há,1,imovel,29,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,12,nenhum/pgto em dia,moveis e equipamentos,2759,< 100 $,>= 7 anos,2,masc-solteiro,n/há,4,poupança ou seguro de vida,34,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
n/há,24,pgto em dia neste banco (em aberto),carro usado,2670,< 100 $,>= 7 anos,4,masc-solteiro,n/há,4,carro ou outros-quitado,35,n/há,própria,1,empresario-gerente-altaqualificacao,1,sim,sim,1
< 0 $,24,pgto em dia neste banco (em aberto),carro novo,4817,< 100 $,< 7 anos,2,masc-solteiro,codevedor,3,poupança ou seguro de vida,31,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,2
n/há,24,pgto em dia neste banco (em aberto),carro usado,2679,< 100 $,< 1 ano,4,femi-divorciadaoucasada,n/há,1,n/há,29,n/há,própria,1,empresario-gerente-altaqualificacao,1,sim,sim,1
< 0 $,11,conta critica / dividas com terceiros,carro novo,3905,< 100 $,< 4 anos,2,masc-solteiro,n/há,2,imovel,36,n/há,aluguel,2,empregado-formadoouservidorpublico,2,não,sim,1
< 0 $,12,pgto em dia neste banco (em aberto),carro usado,3386,< 100 $,>= 7 anos,3,masc-solteiro,n/há,4,n/há,35,n/há,gratuita,1,empregado-formadoouservidorpublico,1,sim,sim,2
< 0 $,6,pgto em dia neste banco (em aberto),eletrodomesticos,343,< 100 $,< 1 ano,4,femi-divorciadaoucasada,n/há,1,imovel,27,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,18,pgto em dia neste banco (em aberto),radio ou televisao,4594,< 100 $,< 1 ano,3,masc-solteiro,n/há,2,carro ou outros-quitado,32,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
< 0 $,36,pgto em dia neste banco (em aberto),moveis e equipamentos,3620,< 100 $,< 4 anos,1,masc-solteiro,garantidor,2,poupança ou seguro de vida,37,n/há,própria,1,empregado-formadoouservidorpublico,2,não,sim,1
< 0 $,15,pgto em dia neste banco (em aberto),carro novo,1721,< 100 $,< 1 ano,2,masc-solteiro,n/há,3,imovel,36,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,12,pgto em dia neste banco (em aberto),moveis e equipamentos,3017,< 100 $,< 1 ano,3,femi-divorciadaoucasada,n/há,1,imovel,34,n/há,aluguel,1,empresario-gerente-altaqualificacao,1,não,sim,1
>= 0 < 200 $,12,pgto em dia neste banco (em aberto),reciclagem profissional,754,n/há,>= 7 anos,4,masc-solteiro,n/há,4,poupança ou seguro de vida,38,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
n/há,18,pgto em dia neste banco (em aberto),negocios,1950,< 100 $,< 7 anos,4,masc-solteiro,n/há,1,carro ou outros-quitado,34,loja,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
< 0 $,24,pgto em dia neste banco (em aberto),carro usado,2924,< 100 $,< 4 anos,3,masc-solteiro,garantidor,4,n/há,63,banco,própria,1,empregado-formadoouservidorpublico,2,sim,sim,1
< 0 $,24,pgto em atraso no passado,radio ou televisao,1659,< 100 $,< 1 ano,4,femi-divorciadaoucasada,n/há,2,carro ou outros-quitado,29,n/há,aluguel,1,empregado-semformacao-residente,1,sim,sim,2
n/há,48,pgto em atraso no passado,radio ou televisao,7238,n/há,>= 7 anos,3,masc-solteiro,n/há,3,carro ou outros-quitado,32,banco,própria,2,empregado-formadoouservidorpublico,2,não,sim,1
n/há,33,pgto em atraso no passado,negocios,2764,< 100 $,< 4 anos,2,femi-divorciadaoucasada,n/há,2,carro ou outros-quitado,26,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,24,pgto em atraso no passado,carro usado,4679,< 100 $,< 7 anos,3,masc-solteiro,n/há,3,carro ou outros-quitado,35,n/há,própria,2,empregado-semformacao-residente,1,sim,sim,1
>= 0 < 200 $,24,pgto em dia neste banco (em aberto),radio ou televisao,3092,>= 100 < 500 $,< 1 ano,3,masc-casadoouviuvo,n/há,2,carro ou outros-quitado,22,n/há,aluguel,1,empregado-formadoouservidorpublico,1,sim,sim,2
< 0 $,6,pgto em dia neste banco (em aberto),educacao,448,< 100 $,< 1 ano,4,femi-divorciadaoucasada,n/há,4,poupança ou seguro de vida,23,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
< 0 $,9,pgto em dia neste banco (em aberto),carro novo,654,< 100 $,< 4 anos,4,masc-solteiro,n/há,3,carro ou outros-quitado,28,n/há,própria,1,empregado-semformacao-residente,1,não,sim,2
n/há,6,pgto em dia neste banco (em aberto),reciclagem profissional,1238,n/há,desempregado,4,masc-solteiro,n/há,4,poupança ou seguro de vida,36,n/há,própria,1,empresario-gerente-altaqualificacao,2,sim,sim,1
>= 0 < 200 $,18,conta critica / dividas com terceiros,radio ou televisao,1245,< 100 $,< 4 anos,4,masc-casadoouviuvo,n/há,2,carro ou outros-quitado,33,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
< 0 $,18,nenhum/pgto em dia,moveis e equipamentos,3114,< 100 $,< 1 ano,1,femi-divorciadaoucasada,n/há,4,poupança ou seguro de vida,26,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,2
n/há,39,pgto em dia neste banco (em aberto),carro usado,2569,>= 500 < 1000 $,< 4 anos,4,masc-solteiro,n/há,4,carro ou outros-quitado,24,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 200 $,24,pgto em dia neste banco (em aberto),radio ou televisao,5152,< 100 $,< 7 anos,4,masc-solteiro,n/há,2,carro ou outros-quitado,25,banco,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,12,pgto em dia neste banco (em aberto),negocios,1037,>= 100 < 500 $,< 7 anos,3,masc-solteiro,n/há,4,imovel,39,n/há,própria,1,empregado-semformacao-residente,1,não,sim,1
< 0 $,15,conta critica / dividas com terceiros,moveis e equipamentos,1478,< 100 $,>= 7 anos,4,masc-solteiro,n/há,4,carro ou outros-quitado,44,n/há,própria,2,empregado-formadoouservidorpublico,2,sim,sim,1
>= 0 < 200 $,12,conta critica / dividas com terceiros,radio ou televisao,3573,< 100 $,< 4 anos,1,femi-divorciadaoucasada,n/há,1,imovel,23,n/há,própria,1,empregado-semformacao-residente,1,não,sim,1
>= 0 < 200 $,24,pgto em dia neste banco (em aberto),carro novo,1201,< 100 $,< 1 ano,4,masc-solteiro,n/há,1,poupança ou seguro de vida,26,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,30,pgto em dia neste banco (em aberto),moveis e equipamentos,3622,>= 1000 $,>= 7 anos,4,femi-divorciadaoucasada,n/há,4,poupança ou seguro de vida,57,n/há,aluguel,2,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,15,pgto em atraso no passado,moveis e equipamentos,960,>= 1000 $,< 7 anos,3,femi-divorciadaoucasada,n/há,2,poupança ou seguro de vida,30,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
